"id","latitude","longitude","name"
1,38.771746,-9.1306207,"Aeroporto"
2,38.7758674,-9.1177189,"Encarnação"
3,38.775383,-9.1048967,"Moscavide"
4,38.770726,-9.1014767,"Oriente"
5,38.764569,-9.1064637,"Cabo Ruivo"
6,38.761624,-9.112163,"Olivais"
7,38.755357,-9.113954,"Chelas"
8,38.747860,-9.118439,"Bela Vista"
9,38.739911,-9.123824,"Olaias"
10,38.737158,-9.133888,"Alameda"
11,38.735426,-9.145261,"Saldanha"
12,38.734815,-9.154220,"São Sebastião"
13,38.713814,-9.122570,"Santa Apolónia"
14,38.707175,-9.133352,"Terreiro do Paço"
15,38.710700,-9.139274,"Chiado"
16,38.715169,-9.141632,"Restauradores"
17,38.720109,-9.145883,"Avenida"
18,38.725357,-9.150099,"Marquês de Pombal"
19,38.729726,-9.150335,"Parque"
20,38.737849,-9.158458,"Praça de Espanha"
21,38.742029,-9.168977,"Jardim Zoologico"
22,38.748530,-9.172462,"Laranjeiras"
24,38.749609,-9.179994,"Alto dos Moinhos"
25,38.752836,-9.189426,"Colégio Militar"
26,38.759139,-9.192718,"Carnide"
27,38.762243,-9.196849,"Pontinha"
28,38.760578,-9.204724,"Alfornelos"
29,38.758411,-9.219122,"Amadora Este"
30,38.752186,-9.224132,"Reboleira"
31,38.706116,-9.145123,"Cais do Sodré"
32,38.713994,-9.138450,"Rossio"
33,38.716256,-9.136219,"Martim Moniz"
34,38.722266,-9.135371,"Intendente"
35,38.726275,-9.134942,"Anjos"
36,38.733639,-9.134167,"Arroios"
37,38.748653,-9.141581,"Roma"
38,38.753129,-9.144016,"Alvalade"
39,38.760212,-9.157874,"Campo Grande"
40,38.760296,-9.166135,"Telheiras"
41,38.793193,-9.173379,"Odivelas"
42,38.785867,-9.172124,"Senhor Roubado"
43,38.779645,-9.159721,"Ameixoeira"
44,38.772903,-9.159753,"Lumiar"
45,38.767022,-9.155333,"Quinta das Conchas"
46,38.751812,-9.159045,"Cidade Universitária"
47,38.747001,-9.147973,"Entre Campos"
48,38.741545,-9.146739,"Campo Pequeno"
49,38.730925,-9.146653,"Picoas"
50,38.720094,-9.154077,"Rato"
23,38.742541,-9.133747,"Areeiro" 
